# Samsung Electro-Mechanics manufacturer typical DC-bias curve
# Source URL: https://product.samsungsem.com/mlcc/CL32B226MOJNNN.do
# Retrieval date: 2026-09-08 (America/Chicago)
# Exact orderable part: CL32B226MOJNNNE
# Source family/model: CL32B226MOJNNN# / CL32B226MOJNNN
# Suffix mapping: source page explicitly lists CL32B226MOJNNNE; # is packaging code.
# E packaging: embossed 7-inch reel; electrical graph belongs to the shared base model.
# Catalog description: 22 uF, +/-20%, 16 VDC, X7R, 1210 (3225 metric).
# Graph: DC Bias Characteristics; graphType=DCBias; asixYOption=DeltaC.
# Measurement: LCR meter, 120 Hz (0.12 kHz), 0.5 Vrms, 25 degC.
# Source JSON conditions: dsDcFre=120; dsDcSign=0.5; degC=25.0.
# Source JSON also contains vdc=0.0 and adc=0.0 as graph metadata;
# the actual applied DC-bias sweep is the first CSV column, not fixed zero V.
# Extraction: public HTML var datasheetData; selected DCBias graph,
# selectPartsList[0].chartList[0].data; x and y decimal strings preserved exactly.
# All 91 original published curve samples are retained in their original order.
# No interpolated, extrapolated, rounded, or independently measured rows are added.
# Status: typical manufacturer design-reference data; not guaranteed minima/maxima.
# Source warns that data may change or be discontinued without notice.
# This room-temperature curve does not guarantee combined bias/temperature/aging,
# production-lot spread, AC-amplitude dependence, or switching-frequency impedance.
# It does not establish a guaranteed 60% combined capacitance-retention factor.
# Capacitance retention fraction can be derived as 1 + capacitance_change_percent/100.
dc_bias_V,capacitance_change_percent
0,0
0.1,0.425210544642857
0.2,0.9036347142857141
0.30000000000000004,1.412466669642857
0.4,1.9289005714285707
0.5,2.430130580357142
0.6,2.893350857142856
0.7,3.2957555624999992
0.7999999999999999,3.614538857142856
0.8999999999999999,3.8268949017857135
1,3.910017857142856
1.1,3.8629742142857135
1.2,3.7088958571428567
1.3,3.4610750357142854
1.4,3.132804
1.5,2.737375
1.6,2.2880802857142863
1.7,1.798212107142858
1.7999999999999998,1.2810627142857158
1.9,0.7499243571428589
2,0.2180892857142872
2.1,-0.33351041071428444
2.2,-0.9292525714285707
2.3,-1.5638098392857143
2.4,-2.231854857142857
2.5,-2.9280602678571435
2.6,-3.647098714285715
2.7,-4.383642839285716
2.8,-5.132365285714288
2.9,-5.8879386964285745
3,-6.645035714285717
3.1,-7.41325304464286
3.2,-8.203446857142861
3.3,-9.012178991071432
3.4,-9.836011285714289
3.5,-10.671505580357145
3.6,-11.515223714285716
3.7,-12.363727526785715
3.8,-13.213578857142858
3.9,-14.061339544642857
4,-14.90357142857143
4.098649999999999,-15.73611249107143
4.1952,-16.560216
4.2905500000000005,-17.380566723214287
4.3856,-18.201849428571425
4.48125,-19.028748883928568
4.578399999999999,-19.865949857142855
4.67795,-20.71813711607143
4.780799999999999,-21.589995428571424
4.88785,-22.486209562499997
5,-23.41146428571428
5.11605,-24.364980874999997
5.2344,-25.341468428571424
5.3553500000000005,-26.338843446428566
5.4792,-27.355022428571424
5.606249999999999,-28.387921874999996
5.7368,-29.435458285714283
5.871149999999999,-30.49554816071428
6.009600000000001,-31.566107999999993
6.15245,-32.64505430357143
6.3,-33.73030357142857
6.452450000000001,-34.833243991071434
6.6095999999999995,-35.962362999999996
6.77115,-37.11122597321429
6.936800000000001,-38.273398285714286
7.106249999999999,-39.442445312500006
7.279199999999999,-40.61193242857143
7.455349999999999,-41.77542500892857
7.634399999999999,-42.92648842857143
7.816049999999999,-44.0586880625
8,-45.16558928571429
8.16985,-46.21205050892858
8.316799999999999,-47.185221571428585
8.45195,-48.11210499107143
8.5864,-49.01970328571429
8.73125,-49.9350189732143
8.897599999999999,-50.88505457142857
9.096549999999999,-51.89681259821429
9.339200000000002,-52.99729557142857
9.63665,-54.21350600892857
10,-55.57244642857144
10.437999999999999,-57.087490580357155
10.944,-58.73806571428572
11.505999999999998,-60.50025459821429
12.112,-62.35014
12.75,-64.2638046875
13.408,-66.21733142857144
14.074,-68.18680299107143
14.735999999999999,-70.14830214285715
15.382,-72.0779116517857
16,-73.95171428571427
